Execução,Tempo
1,42
2,89
3,60
4,59
5,60
6,57
7,55
8,55
9,55
10,55
11,54
12,53
13,53
14,53
15,53
16,52
17,54
18,52
19,54
20,52
21,54
22,52
23,53
24,52
25,54
26,55
27,53
28,53
29,53
30,53
