Execução,Tempo
1,37
2,14
3,15
4,16
5,14
6,14
7,14
8,14
9,14
10,15
11,14
12,15
13,14
14,14
15,14
16,14
17,15
18,14
19,14
20,14
21,14
22,14
23,14
24,15
25,14
26,14
27,14
28,15
29,14
30,14
