Execução,Tempo
1,30
2,72
3,48
4,47
5,48
6,46
7,46
8,46
9,46
10,46
11,46
12,46
13,45
14,46
15,50
16,45
17,46
18,46
19,46
20,46
21,47
22,46
23,47
24,46
25,46
26,48
27,46
28,46
29,46
30,46
